firm_name,url,li_emps,median_gw_emps,emp_diff,max_emps,size_state,state_diff,base_domain,subsidiary_adjust
Brewer Science Inc.,brewerscience.com/,358.0,300.0,58.0,358.0,FirmSize.US_MEDIUM_FIRM,0,brewerscience.com,0
Bridgelux,bridgelux.com/,148.0,,,148.0,FirmSize.EU_MEDIUM_FIRM,3,bridgelux.com,0
Bridgestone Corporation,bridgestone.com/,1241.0,142669.0,141428.0,142669.0,FirmSize.LARGE_FIRM,0,bridgestone.com,0
Brightfield Transportation Solutions,brightfieldts.com/,6.0,,,6.0,FirmSize.MICRO_FIRM,1,brightfieldts.com,0
BRIGHTLEAF TECHNOLOGIES INC.,brightleafpower.com/,31.0,,,31.0,FirmSize.SMALL_FIRM,2,brightleafpower.com,0
BROADCOM CORPORATION,broadcom.com/,12.0,14500.0,14488.0,14500.0,FirmSize.LARGE_FIRM,3,broadcom.com,0
Brother International Corporation,brother-usa.com/,4.0,7100.0,7096.0,7100.0,FirmSize.LARGE_FIRM,4,brother-usa.com,0
Bruin Biometrics,bruinbiometrics.com/us/,24.0,,,24.0,FirmSize.SMALL_FIRM,2,bruinbiometrics.com,0
Brookhaven Science Associates LLC ,bsa-hq.org/,11.0,,,11.0,FirmSize.SMALL_FIRM,2,bsa-hq.org,0
BTU International,btutilities.com/,97.0,290.0,193.0,290.0,FirmSize.US_MEDIUM_FIRM,1,btutilities.com,0
Buckman Laboratories International,buckman.com/,1554.0,185.0,1369.0,1554.0,FirmSize.LARGE_FIRM,2,buckman.com,0
Georgia-Pacific Gypsum LLC,buildgp.com/georgia-pacific-gypsum,15327.0,,,15327.0,FirmSize.LARGE_FIRM,5,buildgp.com,0
Butamax(TM) Advanced Biofuels LLC,butamax.com/,14.0,,,14.0,FirmSize.SMALL_FIRM,2,butamax.com,0
Biotechnology Foundation,cabiotech.org/,,,,,FirmSize.UNDEFINED,0,cabiotech.org,0
Cabot Corporation,cabotcorp.com/,3097.0,496.0,2601.0,3097.0,FirmSize.LARGE_FIRM,1,cabotcorp.com,0
Cadence Design Systems,cadence.com/,6435.0,7094.0,659.0,7094.0,FirmSize.LARGE_FIRM,0,cadence.com,0
Calient Technologies,calient.net/,86.0,,,86.0,FirmSize.EU_MEDIUM_FIRM,3,calient.net,0
Calysta,calysta.com/,18.0,,,18.0,FirmSize.SMALL_FIRM,2,calysta.com,0
Cambridge Electronics,cambridgeelectronics.com/,15.0,1170.0,1155.0,1170.0,FirmSize.LARGE_FIRM,3,cambridgeelectronics.com,0
Anelva Corporation,canon-anelva.co.jp/english/,37.0,,,37.0,FirmSize.SMALL_FIRM,2,canon-anelva.co.jp,0
Canon U.S. Life Sciences,canon-biomedical.com/online/portal/vp7,26.0,,,26.0,FirmSize.SMALL_FIRM,2,canon-biomedical.com,0
Bend Research,capsugel.com/locations/bend-oregon-usa,223.0,,,223.0,FirmSize.EU_MEDIUM_FIRM,3,capsugel.com,0
CARBO Ceramics Inc.,carboceramics.com/about/about-carbo,382.0,692.5,310.5,692.5,FirmSize.LARGE_FIRM,1,carboceramics.com,0
Carbon3D,carbon3d.com/,493.0,210.0,283.0,493.0,FirmSize.US_MEDIUM_FIRM,1,carbon3d.com,0
Cardiva Medical,cardivamedical.com/,119.0,,,119.0,FirmSize.EU_MEDIUM_FIRM,3,cardivamedical.com,0
Carestream Health,carestream.com/en/us,134.0,3650.0,3516.0,3650.0,FirmSize.LARGE_FIRM,2,carestream.com,0
Caribou Biosciences,cariboubio.com/,60.0,,,60.0,FirmSize.EU_MEDIUM_FIRM,3,cariboubio.com,0
Carver Scientific,carversci.com/,11.0,130.0,119.0,130.0,FirmSize.EU_MEDIUM_FIRM,1,carversci.com,0
