"firm","lookup_firm","lookup_firm_web","hit_url","nano","green","synbio","count_all_ind","max_emps","size_state","sme","pages","num_words","avg_words_per_page","year.min.p..date...","num_patents_all","num_patents_3","mean_assignees_all","mean_assignees_3","mean_inventors_all","mean_inventors_3","patent_pattern","rd_pattern","product_pattern","trial_pattern","demo_pattern","manufacturing_pattern","venture_pattern","investment_pattern","university_pattern","partnership_pattern","greenness_pattern","customization_pattern","awards_pattern","membership_pattern","customer_pattern","about_gen.count","about_exact.count","default_to_home","mean_i2017y","mean_cd2017y"
"Synthetic Genomics","Synthetic Genomics","Synthetic Genomics","syntheticgenomics.com/",0,1,1,2,169,"FirmSize.EU_MEDIUM_FIRM",1,12,68367,5697.25,2010,41,6,1,1,4,6.66666666666667,0,5,0,2,4,21,0,1,0,10,1,1,0,0,1,3,1,0,0.878048780487805,0.0269810734146341
"Synthezyme","Synthezyme","Synthezyme","",0,0,1,1,3,"FirmSize.MICRO_FIRM",1,NA,NA,NA,2013,7,1,1,1,2.71428571428571,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143,-0.00793651428571429
"SYNTHOMER USA LLC","SYNTHOMER USA","SYNTHOMER USA","synthomer.com/",1,0,0,1,2789,"FirmSize.LARGE_FIRM",0,239,4043709,16919.2845188285,2016,2,1,1,1,3.5,2,0,16,4,4,5,39,8,12,0,23,13,30,3,6,31,17,4,0,0,0
"Sysmex Corporation","Sysmex","Sysmex","sysmex.com/Pages/default.aspx",1,0,0,1,7409,"FirmSize.LARGE_FIRM",0,4,70155,17538.75,1976,1688,1,1.04028436018957,2,2.4324644549763,4,0,3,1,0,0,1,0,2,0,1,2,0,1,0,0,1,1,0,6.28926174496644,0.0788092301751678
"System Biosciences","System Biosciences","System Biosciences","systembio.com/",0,0,1,1,35,"FirmSize.SMALL_FIRM",1,121,41744381,344994.884297521,2015,2,1,1,1,2,1,1,64,33,8,42,53,3,6,1,13,2,39,2,16,28,12,2,0,1,0.02941175
"T.H.E.M.","THEM","THEM","them.net/",0,0,1,1,100,"FirmSize.EU_MEDIUM_FIRM",1,24,92600,3858.33333333333,1977,136,1,1.01470588235294,1,2.31617647058824,1,2,8,17,3,4,47,1,0,0,13,5,2,2,2,17,7,2,0,16.5230769230769,0.0525067478461538
"Taiwan Semiconductor Manufacturing Company","Taiwan Semiconductor Manufacturing Company","Taiwan Semiconductor Manufacturing Company","tsmc.com/english/default.htm",1,1,1,3,46968,"FirmSize.LARGE_FIRM",0,55,577955,10508.2727272727,1988,14570,158,1.00878517501716,1.01910828025478,3.50199039121483,3.64331210191083,9,83,14,14,12,71,1,9,68,21,17,34,13,8,37,12,1,0,5.70291448996426,0.073018996478485
"Taiyo Ink Mfg. Co.","Taiyo Ink Mfg Co","Taiyo Ink Mfg Co","taiyo-hd.co.jp/en/group/ink/",1,0,0,1,14,"FirmSize.SMALL_FIRM",1,34,428818,12612.2941176471,1977,126,1,1.34126984126984,1,3.47619047619048,2,7,34,33,2,1,55,1,2,0,3,2,8,3,3,8,12,8,0,4.84920634920635,0.172846066825397
"Takara Bio Inc.","Takara Bio","Takara Bio","takarabio.com/",0,0,1,1,812,"FirmSize.LARGE_FIRM",0,269,8305470,30875.3531598513,2004,123,1,1.13821138211382,1,5.10569105691057,6,2,133,50,27,41,77,19,10,14,19,9,33,14,6,12,30,8,0,1.29268292682927,0.0772960252195122
"Takeda Pharmaceutical Company Limited","Takeda Pharmaceutical Company Limited","Takeda Pharmaceutical Company Limited","takeda.com/",1,0,1,2,17791,"FirmSize.LARGE_FIRM",0,82,673509,8213.5243902439,2005,674,4,1.03412462908012,1,4.28486646884273,3,1,49,10,2,4,16,3,5,1,42,29,6,0,8,4,33,12,0,1.59495548961424,0.109293886181009
"Tamura Corporation","Tamura","Tamura","tamuracorp.com/",1,0,0,1,2715,"FirmSize.LARGE_FIRM",0,40,112568,2814.2,1984,95,5,1.35789473684211,2,2.50526315789474,2,0,0,10,2,1,18,0,0,0,10,1,10,0,1,8,6,1,0,2.32558139534884,0.0976930075581395
"Tanaka Kikinzoku Kogyo K.K.","Tanaka Kikinzoku Kogyo KK","Tanaka Kikinzoku Kogyo KK","gold.tanaka.co.jp/english/",1,0,0,1,3600,"FirmSize.LARGE_FIRM",0,2,2367,1183.5,1986,185,5,1.52972972972973,1,3.29189189189189,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.50810810810811,0.127457673027027
"Tapwave","Tapwave","Tapwave","tapwave.net/",0,1,0,1,10,"FirmSize.SMALL_FIRM",1,32,57053,1782.90625,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,NA,NA
"Tarveda Therapeutics","Tarveda Therapeutics","Tarveda Therapeutics","tarveda.com/",1,0,0,1,29,"FirmSize.SMALL_FIRM",1,20,83072,4153.6,2016,1,1,1,1,6,6,0,15,3,6,5,4,3,1,16,4,0,0,1,0,0,4,1,0,0,0
